from,gemeentenaamvolledig,provincie
Aa.en.Hunze,Aa en Hunze,Drenthe
Achtkarspelen,Achtkarspelen,Friesland
Ameland,Ameland,Friesland
Appingedam,Appingedam,Groningen
Assen,Assen,Drenthe
Bedum,Bedum,Groningen
Bellingwedde,Bellingwedde,Groningen
het.Bildt,het Bildt,Friesland
Boarnsterhim,Boarnsterhim,Friesland
Ten.Boer,Ten Boer,Groningen
Borger.Odoorn,Borger Odoorn,Drenthe
Coevorden,Coevorden,Drenthe
Dantumadiel,Dantumadiel,Friesland
Delfzijl,Delfzijl,Groningen
Dongeradeel,Dongeradeel,Friesland
Eemsmond,Eemsmond,Groningen
Emmen,Emmen,Drenthe
Ferwerderadiel,Ferwerderadiel,Friesland
Franekeradeel,Franekeradeel,Friesland
De.Friese.Meren,De Friese Meren,Friesland
De.Fryske.Marren,De Fryske Marren,Friesland
Gaasterlân.Sleat,Gaasterlân Sleat,Friesland
Groningen,Groningen,Groningen
Grootegast,Grootegast,Groningen
Haren,Haren,Groningen
Harlingen,Harlingen,Friesland
Heerenveen,Heerenveen,Friesland
Hoogeveen,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Kollumerland en Nieuwkruisland,Friesland
Leek,Leek,Groningen
Leeuwarden,Leeuwarden,Friesland
Leeuwarderadeel,Leeuwarderadeel,Friesland
Lemsterland,Lemsterland,Friesland
Littenseradiel,Littenseradiel,Friesland
Loppersum,Loppersum,Groningen
De.Marne,De Marne,Groningen
Marum,Marum,Groningen
Menameradiel,Menameradiel,Friesland
Menterwolde,Menterwolde,Groningen
Meppel,Meppel,Drenthe
Midden.Drenthe,Midden Drenthe,Drenthe
Midden.Groningen,Midden Groningen,Groningen
Noordenveld,Noordenveld,Drenthe
Oldambt,Oldambt,Groningen
Ooststellingwerf,Ooststellingwerf,Friesland
Opsterland,Opsterland,Friesland
Pekela,Pekela,Groningen
Schiermonnikoog,Schiermonnikoog,Friesland
Skarsterlân,Skarsterlân,Friesland
Slochteren,Slochteren,Groningen
Smallingerland,Smallingerland,Friesland
Stadskanaal,Stadskanaal,Groningen
Súdwest.Fryslân,Súdwest Fryslân,Friesland
Terschelling,Terschelling,Friesland
Tynaarlo,Tynaarlo,Drenthe
Tytsjerksteradiel,Tytsjerksteradiel,Friesland
Veendam,Veendam,Groningen
Vlagtwedde,Vlagtwedde,Groningen
Vlieland,Vlieland,Friesland
Waadhoeke,Waadhoeke,Friesland
Westerveld,Westerveld,Drenthe
Westerwolde,Westerwolde,Groningen
Weststellingwerf,Weststellingwerf,Friesland
Winsum,Winsum,Groningen
De.Wolden,De Wolden,Drenthe
Zuidhorn,Zuidhorn,Groningen