to,provincie to
Aa en Hunze,Drenthe
Achtkarspelen,Friesland
Ameland,Friesland
Appingedam,Groningen
Assen,Drenthe
Bedum,Groningen
Bellingwedde,Groningen
het Bildt,Friesland
Boarnsterhim,Friesland
Ten Boer,Groningen
Borger Odoorn,Drenthe
Coevorden,Drenthe
Dantumadiel,Friesland
Delfzijl,Groningen
Dongeradeel,Friesland
Eemsmond,Groningen
Emmen,Drenthe
Ferwerderadiel,Friesland
Franekeradeel,Friesland
De Friese Meren,Friesland
De Fryske Marren,Friesland
Gaasterlân Sleat,Friesland
Groningen,Groningen
Grootegast,Groningen
Haren,Groningen
Harlingen,Friesland
Heerenveen,Friesland
Hoogeveen,Drenthe
Hoogezand Sappemeer,Groningen
Kollumerland en Nieuwkruisland,Friesland
Leek,Groningen
Leeuwarden,Friesland
Leeuwarderadeel,Friesland
Lemsterland,Friesland
Littenseradiel,Friesland
Loppersum,Groningen
De Marne,Groningen
Marum,Groningen
Menameradiel,Friesland
Menterwolde,Groningen
Meppel,Drenthe
Midden Drenthe,Drenthe
Midden Groningen,Groningen
Noordenveld,Drenthe
Oldambt,Groningen
Ooststellingwerf,Friesland
Opsterland,Friesland
Pekela,Groningen
Schiermonnikoog,Friesland
Skarsterlân,Friesland
Slochteren,Groningen
Smallingerland,Friesland
Stadskanaal,Groningen
Súdwest Fryslân,Friesland
Terschelling,Friesland
Tynaarlo,Drenthe
Tytsjerksteradiel,Friesland
Veendam,Groningen
Vlagtwedde,Groningen
Vlieland,Friesland
Waadhoeke,Friesland
Westerveld,Drenthe
Westerwolde,Groningen
Weststellingwerf,Friesland
Winsum,Groningen
De Wolden,Drenthe
Zuidhorn,Groningen