https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westerveld,4,0,0,0,27,2,0,0,,1,3,12,0,3,2,0,23,0,1,3,,,83,3,5,3,18,43,4,0,3,18,0,,0,0,0,1,0,0,107,19,,3,4,25,2,0,0,,2,1,1,2,2,0,0,1,4,1,,,,41,0,42,0
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weststellingwerf,1,4,0,4,8,0,0,1,,0,1,5,0,0,1,0,2,1,2,17,,,63,0,3,5,75,2,0,2,2,76,1,,0,1,0,5,1,0,16,3,,3,0,53,22,0,0,,0,16,0,15,1,0,6,1,0,1,,37,,,1,2,0
,Winsum,1,0,0,1,12,28,1,0,,4,0,0,1,2,1,29,3,1,0,0,,,203,0,7,0,1,2,6,5,7,9,0,,0,7,62,0,0,2,0,6,,18,11,1,0,0,1,,0,0,2,0,1,12,1,1,2,2,,1,,0,,2,12
,De Wolden,4,0,0,0,11,0,2,0,,2,1,15,0,0,0,0,13,0,0,0,,,86,0,0,0,1,170,2,0,0,15,0,,0,3,0,0,0,0,91,19,,3,1,4,0,0,0,,0,4,1,0,2,4,0,1,2,0,,41,,12,1,,0
,Zuidhorn,5,8,0,3,13,7,0,0,,2,5,3,6,0,3,5,6,1,1,1,,,317,70,12,0,1,0,16,13,42,13,1,,0,2,2,7,0,3,3,3,,33,8,4,4,0,0,,0,12,1,4,0,12,4,11,3,1,,4,,0,24,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
regio van aankomst,Aa en Hunze,,0,1,6,199,3,9,0,,0,68,16,2,3,2,5,34,0,0,0,,,239,0,14,0,1,6,24,0,4,9,0,,0,1,0,0,0,9,6,38,,21,16,11,0,8,0,,8,2,68,1,2,89,0,55,6,0,,4,,0,2,8,4
,Achtkarspelen,0,,0,0,3,1,0,0,,0,0,1,81,0,22,1,3,2,5,7,,,80,71,1,4,25,0,1,88,4,78,2,,1,0,3,7,8,0,0,3,,5,1,8,21,0,5,,2,136,0,21,6,4,87,1,0,2,,2,,7,0,0,5
,Ameland,2,0,,0,1,0,0,0,,0,0,0,5,0,5,0,0,1,2,0,,,3,0,0,3,1,0,1,1,3,42,0,,0,0,1,0,1,1,0,1,,1,1,5,3,0,1,,0,5,1,1,0,0,1,0,0,0,,1,,1,0,0,0
,Appingedam,4,0,0,,13,8,4,0,,9,0,0,0,198,0,9,1,0,0,0,,,114,0,2,0,0,0,18,1,0,8,0,,1,25,1,0,0,6,0,2,,0,12,0,0,5,0,,29,0,1,1,0,3,0,6,0,0,,0,,0,4,0,1
,Assen,188,1,1,3,,4,4,0,,3,38,37,2,5,1,4,81,1,4,2,,,523,4,28,2,16,48,36,0,17,48,0,,0,3,6,3,1,9,21,269,,90,26,58,15,8,2,,9,27,25,14,2,128,5,31,10,0,,27,,3,4,22,5
,Bedum,2,0,0,2,4,,3,0,,11,4,0,0,3,0,21,0,0,0,1,,,201,0,15,0,3,0,10,0,5,7,0,,0,23,11,0,0,1,0,1,,9,4,4,0,0,0,,16,1,5,1,0,9,1,3,0,0,,0,,3,24,0,17
,Bellingwedde,16,3,0,1,2,2,,2,,0,3,0,1,12,0,0,7,0,4,4,,,59,3,2,0,0,1,8,0,4,5,0,,0,0,0,0,0,10,1,3,,2,144,1,0,25,0,,9,3,26,1,0,2,0,18,34,0,,0,,0,1,0,0
,het Bildt,0,0,0,1,0,0,0,,,0,0,0,4,2,7,0,2,8,30,3,,,19,0,0,2,14,1,2,1,3,95,30,,6,0,0,0,31,0,0,0,,0,0,2,0,0,0,,0,6,0,15,0,2,22,0,0,0,,4,,0,0,0,4
,Boarnsterhim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ten Boer,1,0,0,12,6,14,0,0,,,0,1,0,2,0,6,1,0,0,0,,,158,1,10,0,0,2,7,1,0,4,0,,0,22,5,2,0,5,0,1,,8,2,0,0,0,0,,15,2,2,0,4,11,0,0,0,0,,0,,0,1,0,15
,Borger-Odoorn,64,0,2,1,36,0,2,0,,1,,49,0,0,0,4,246,0,1,2,,,170,1,6,0,0,14,7,1,2,8,0,,0,1,1,1,0,1,2,17,,6,15,3,1,11,0,,4,5,245,2,0,11,1,6,47,0,,3,,0,1,4,5
,Coevorden,12,0,1,0,40,1,5,0,,1,49,,0,1,0,0,397,0,0,3,,,84,0,2,0,5,136,2,0,0,17,1,,0,1,0,1,0,1,6,49,,3,4,1,1,1,0,,0,3,9,3,0,17,13,2,9,0,,8,,1,1,8,0
,Dantumadiel,1,45,5,2,7,0,0,3,,0,0,1,,1,140,1,2,19,6,4,,,45,0,0,7,8,0,1,60,6,52,4,,0,0,0,1,1,0,0,0,,2,0,3,8,1,1,,0,28,0,4,0,1,102,0,1,0,,2,,3,1,1,7
,Delfzijl,11,2,3,251,20,13,12,3,,13,7,1,2,,0,34,24,1,10,45,,,308,11,18,5,7,19,33,1,12,20,4,,5,17,8,5,8,27,7,0,,5,72,2,4,19,0,,43,7,12,30,2,6,5,34,14,1,,0,,7,11,2,21
,Dongeradeel,0,49,10,1,5,0,1,8,,0,0,1,123,1,,0,5,35,5,3,,,71,6,0,2,15,1,2,62,4,99,9,,3,0,5,6,3,0,1,0,,5,0,5,6,1,4,,1,35,0,16,1,2,49,1,2,0,,2,,2,0,0,2
,Eemsmond,9,0,0,17,8,28,1,0,,9,7,4,2,23,0,,3,0,0,0,,,159,0,7,0,0,2,14,0,3,6,0,,0,65,16,1,0,4,0,0,,8,4,2,3,0,0,,3,2,0,1,1,14,1,9,5,0,,7,,0,30,0,6
,Emmen,36,5,3,1,71,0,8,2,,0,186,382,0,11,2,3,,0,1,5,,,391,4,4,4,12,87,7,0,3,32,0,,0,5,2,1,1,6,26,47,,12,22,8,2,6,2,,6,6,63,1,2,39,3,15,136,1,,9,,13,6,11,9
,Ferwerderadiel,0,6,5,0,4,0,0,19,,1,0,0,16,1,35,0,3,,8,6,,,16,0,1,6,10,0,0,5,1,69,34,,0,0,0,0,5,0,2,0,,1,4,1,0,0,0,,0,15,0,4,1,1,15,0,0,0,,2,,0,0,0,5
,Franekeradeel,2,0,6,0,3,0,0,58,,0,2,1,4,0,3,0,3,19,,14,,,52,0,2,99,16,2,0,5,3,208,8,,32,0,3,6,44,1,6,3,,7,0,3,7,1,0,,0,22,0,58,6,5,19,0,1,2,,1,,5,0,0,3
,De Friese Meren,0,10,0,0,1,0,9,3,,0,0,3,4,0,2,1,5,0,8,,,,168,0,4,13,299,4,2,3,0,134,2,,6,0,0,1,5,0,5,2,,3,2,10,35,0,0,,0,36,3,226,6,5,15,1,0,1,,3,,35,1,2,0
,De Fryske Marren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gaasterlân-Sleat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Groningen,258,42,9,58,453,200,51,4,,136,120,59,28,150,53,109,272,8,42,118,,,,62,664,39,162,110,370,34,323,373,16,,13,93,71,76,21,68,76,162,,446,193,82,85,33,8,,338,175,106,195,16,829,67,170,38,5,,59,,42,154,53,360
,Grootegast,0,86,0,1,2,0,1,0,,1,0,3,1,2,4,6,0,0,3,3,,,105,,0,0,1,1,5,2,36,3,0,,0,3,3,62,0,0,0,1,,20,1,5,15,1,0,,5,30,0,1,0,3,1,1,0,0,,2,,0,3,0,69
,Haren,27,22,0,1,42,3,9,3,,12,7,21,3,5,3,9,24,2,7,5,,,544,7,,6,30,8,51,3,7,10,0,,5,7,12,7,1,21,8,21,,39,25,6,28,1,0,,27,34,5,19,0,117,10,6,4,0,,8,,13,5,17,11
,Harlingen,0,6,0,0,2,1,0,2,,0,0,0,3,0,4,1,1,1,87,8,,,44,0,0,,9,0,0,0,0,108,1,,3,0,4,0,12,0,1,1,,2,3,2,1,0,0,,0,14,1,63,24,3,11,1,0,4,,3,,3,0,0,0
,Heerenveen,0,17,2,0,9,0,0,2,,2,0,8,9,1,5,2,4,2,33,232,,,175,1,0,6,,8,1,5,8,229,8,,11,1,5,1,6,0,17,4,,4,3,73,188,0,1,,3,88,2,97,4,4,28,1,3,2,,9,,109,0,1,0
,Hoogeveen,11,2,0,0,56,3,3,1,,1,6,72,0,3,1,0,91,2,0,5,,,167,0,7,0,6,,6,0,2,21,0,,0,0,4,6,1,1,59,90,,6,3,15,7,4,1,,4,6,17,5,0,9,0,2,5,1,,39,,2,0,209,1
,Hoogezand-Sappemeer,26,1,1,19,33,11,11,3,,3,10,0,0,20,3,8,13,0,2,4,,,365,5,24,1,2,6,,1,24,15,1,,0,8,4,1,0,57,6,6,,30,62,1,1,5,1,,106,4,24,2,0,80,4,90,4,0,,2,,0,4,2,4
,Kollumerland en Nieuwkruisland,0,53,2,1,0,0,3,0,,0,2,0,75,1,65,0,1,0,5,2,,,52,20,2,0,12,0,0,,0,45,0,,0,0,3,0,1,1,0,2,,1,4,0,7,0,0,,1,10,0,7,4,1,27,2,0,1,,0,,1,0,0,15
,Leek,7,6,0,9,21,9,1,0,,0,5,0,0,2,2,3,4,2,2,0,,,283,41,7,0,7,6,11,5,,18,0,,3,6,8,66,1,2,0,10,,147,4,13,8,0,0,,2,11,4,4,1,16,3,3,1,2,,0,,2,1,1,38
,Leeuwarden,11,70,47,6,32,10,10,89,,2,5,11,59,12,77,2,33,59,167,129,,,469,6,9,70,265,14,15,41,18,,191,,88,4,2,12,166,6,27,19,,40,20,40,81,7,2,,3,198,8,329,31,26,362,13,3,16,,14,,54,1,4,16
,Leeuwarderadeel,0,1,2,0,2,0,0,27,,0,0,0,3,0,3,0,1,26,14,3,,,23,1,0,4,13,0,0,3,0,196,,,2,0,0,0,23,0,0,7,,2,0,0,3,1,0,,0,4,0,4,3,1,13,0,0,4,,0,,1,1,0,0
,Lemsterland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Littenseradiel,0,0,0,0,2,0,1,15,,0,1,1,0,0,2,1,3,2,27,21,,,25,0,0,8,20,0,0,1,0,97,5,,,0,0,0,25,0,0,6,,1,0,4,4,0,0,,0,13,0,98,3,0,6,0,0,1,,0,,1,0,0,0
,Loppersum,1,1,0,44,16,17,2,0,,14,0,0,0,45,0,76,5,0,0,0,,,116,7,5,0,0,3,12,0,6,8,0,,0,,6,4,0,9,0,2,,6,14,0,1,0,0,,11,3,0,0,0,8,0,5,1,0,,1,,0,9,2,3
,De Marne,7,0,0,0,1,13,0,0,,6,2,0,2,9,6,34,2,2,0,0,,,96,8,5,2,4,0,5,3,12,8,0,,0,5,,4,0,1,0,4,,4,5,1,0,1,1,,3,7,0,1,0,6,1,1,1,0,,0,,1,63,0,19
,Marum,1,15,0,0,9,0,0,0,,0,1,2,0,0,1,6,1,0,1,4,,,104,65,0,0,2,3,1,1,73,12,0,,0,1,0,,0,0,0,1,,28,0,15,15,0,0,,1,24,0,1,1,0,2,2,0,0,,2,,0,1,0,7
,Menameradiel,0,4,1,0,1,1,0,66,,0,0,1,1,0,1,0,0,5,68,2,,,32,0,1,20,11,2,0,1,0,191,20,,18,0,1,2,,0,0,6,,1,2,1,0,0,0,,0,13,0,13,1,0,11,2,0,0,,1,,3,0,0,1
,Menterwolde,6,0,0,10,9,1,6,0,,0,4,0,0,22,0,5,2,5,0,2,,,74,2,6,0,3,0,66,0,3,3,0,,0,2,0,2,0,,1,2,,5,48,0,0,18,0,,21,5,13,0,0,4,1,138,5,0,,0,,0,3,0,5
,Meppel,9,0,0,0,25,0,0,0,,0,2,15,0,0,0,3,18,0,0,5,,,95,0,2,1,7,50,1,1,1,21,0,,1,0,0,0,0,0,,9,,3,3,1,8,0,0,,0,7,3,4,0,9,0,1,1,0,,61,,13,0,171,0
,Midden-Drenthe,35,3,0,1,256,1,1,1,,0,19,45,2,0,1,0,55,2,7,9,,,204,5,9,2,10,105,8,3,6,32,0,,1,1,0,0,0,2,20,,,24,15,59,6,4,0,,1,8,9,3,2,19,1,7,2,0,,34,,8,2,35,2
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noordenveld,19,4,9,1,108,1,1,0,,3,3,6,2,7,1,2,25,0,6,4,,,424,13,29,0,5,10,18,2,146,26,1,,0,0,3,38,0,7,10,17,,,4,42,14,2,1,,4,8,3,6,2,102,4,12,2,0,,6,,3,9,4,19
,Oldambt,25,1,0,15,21,0,99,0,,1,15,7,1,65,0,9,5,0,2,0,,,284,3,21,5,0,4,53,1,11,20,1,,0,9,1,3,1,63,2,5,,8,,1,2,175,2,,13,3,36,7,0,9,0,105,26,0,,0,,0,3,1,14
,Ooststellingwerf,7,21,0,3,46,1,2,0,,0,5,6,2,0,4,0,6,5,3,13,,,145,3,1,0,44,5,5,1,20,38,2,,0,0,1,9,0,5,8,44,,47,2,,39,2,1,,1,59,3,9,8,12,9,2,1,0,,14,,65,2,9,0
,Opsterland,1,34,0,0,9,0,1,1,,0,4,5,3,1,14,1,4,2,7,30,,,123,5,4,1,207,2,1,7,6,66,2,,3,0,1,6,4,0,1,6,,10,3,90,,0,0,,0,274,2,19,1,4,27,1,0,1,,1,,20,0,2,14
,Pekela,7,0,1,2,13,0,28,1,,1,17,7,0,14,0,3,16,0,0,1,,,58,2,2,0,1,3,14,0,2,5,0,,0,0,1,0,0,18,1,1,,2,167,3,0,,1,,3,1,55,2,0,5,0,62,22,0,,0,,0,1,0,2
,Schiermonnikoog,0,1,0,0,2,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,,,13,0,0,0,2,0,1,0,0,7,0,,0,0,1,0,0,0,0,0,,1,1,6,0,0,,,0,3,2,0,0,0,0,0,0,0,,0,,0,1,0,5
,Skarsterlân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slochteren,10,0,0,38,8,4,1,0,,16,6,0,0,39,0,8,5,0,0,4,,,183,3,24,0,3,5,116,0,10,4,0,,0,5,4,0,0,24,1,3,,5,34,2,0,7,0,,,4,4,0,3,12,0,10,2,0,,2,,0,0,0,7
,Smallingerland,32,162,0,2,43,10,3,5,,2,7,21,21,5,16,4,29,6,24,43,,,346,42,5,13,134,32,2,23,30,258,5,,5,0,5,20,3,0,5,14,,20,2,67,289,1,2,,0,,1,59,3,17,127,2,3,3,,2,,24,0,11,9
,Stadskanaal,55,1,0,1,39,2,19,0,,0,177,25,2,8,5,3,102,0,2,1,,,211,4,4,2,5,5,21,5,10,15,0,,0,1,0,0,0,6,6,9,,8,51,2,6,43,0,,3,2,,5,1,8,0,41,94,0,,0,,1,3,3,3
,Súdwest-Fryslân,8,12,3,0,10,1,1,17,,1,2,3,9,3,9,0,10,4,62,215,,,236,1,0,89,126,7,1,5,8,349,10,,106,4,3,0,22,0,7,11,,3,5,20,50,1,2,,1,65,1,,15,7,42,2,0,5,,7,,19,3,1,0
,Terschelling,1,1,0,0,2,0,0,2,,1,2,0,1,2,5,1,3,0,7,3,,,15,0,2,23,9,2,1,3,4,34,2,,1,0,0,0,4,1,0,1,,2,0,4,0,0,0,,2,3,1,18,,1,5,0,0,0,,0,,1,0,1,5
,Tynaarlo,96,1,1,2,124,1,0,1,,10,16,12,2,15,2,8,27,0,7,3,,,585,6,95,2,3,8,39,0,19,16,0,,0,2,8,9,0,3,3,22,,78,20,4,1,2,0,,10,2,5,8,0,,2,19,2,1,,3,,1,4,0,4
,Tytsjerksteradiel,2,68,4,5,8,1,1,11,,0,2,2,89,0,26,2,5,15,14,10,,,94,9,0,9,26,3,4,33,17,305,9,,4,0,5,3,13,0,4,5,,5,3,6,22,0,1,,2,121,0,41,6,1,,4,1,1,,5,,3,2,0,1
,Veendam,64,1,0,8,33,1,16,0,,2,16,0,1,31,4,3,24,0,0,0,,,213,0,8,0,1,11,62,2,8,12,2,,0,4,8,2,1,147,1,5,,6,80,5,0,53,0,,6,8,57,3,2,30,2,,10,0,,6,,1,3,0,2
,Vlagtwedde,14,4,0,1,12,0,107,64,,0,45,78,2,97,0,2,94,0,0,4,,,87,0,84,2,0,125,4,0,1,7,0,,0,1,3,0,0,2,1,128,,3,40,1,2,100,0,,5,65,282,2,0,6,25,10,,0,,33,,4,0,1,0
,Vlieland,0,1,2,0,1,1,0,1,,0,0,2,0,1,0,0,0,0,5,2,,,5,0,0,8,1,0,1,0,1,22,4,,2,0,0,0,1,0,0,0,,0,0,1,1,0,0,,0,1,0,5,2,1,0,0,0,,,0,,0,0,0,0
,Waadhoeke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westerveld,6,2,0,2,28,0,1,0,,0,3,33,0,1,4,1,20,0,0,2,,,84,0,4,4,6,27,2,0,1,22,0,,0,0,1,0,0,2,81,42,,5,0,32,2,1,0,,0,4,3,8,4,11,0,1,1,0,,,,50,1,43,1
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weststellingwerf,0,4,1,0,8,0,0,3,,0,2,1,3,0,6,0,7,2,5,25,,,62,0,0,3,107,5,0,1,1,40,1,,1,0,0,1,4,0,16,0,,5,2,40,26,0,0,,0,25,0,23,2,2,9,0,0,0,,49,,,0,6,2
,Winsum,3,0,0,2,12,53,0,0,,2,1,0,1,2,0,32,4,0,1,1,,,207,3,8,0,0,2,8,0,8,12,0,,0,10,76,0,0,0,0,1,,4,3,3,0,1,0,,4,5,2,2,1,3,0,0,3,0,,1,,0,,0,21
,De Wolden,3,0,0,0,18,0,0,0,,0,6,22,0,0,0,0,13,0,2,1,,,66,0,0,0,0,162,0,0,0,14,0,,0,0,0,0,2,0,140,9,,1,1,6,0,5,0,,0,1,1,3,1,6,1,2,0,0,,55,,1,2,,0
,Zuidhorn,6,14,2,2,16,10,3,2,,10,0,2,4,3,2,4,6,0,1,2,,,271,66,6,3,4,0,14,5,53,20,1,,0,7,20,11,0,3,0,0,,24,9,5,4,6,2,,8,9,1,1,0,17,3,1,1,0,,0,,4,19,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
regio van aankomst,Aa en Hunze,,0,0,1,153,0,3,0,,1,80,4,0,11,1,6,45,0,0,,1,,197,1,17,1,4,5,20,0,6,10,0,,0,2,1,4,1,9,3,46,,16,13,7,2,12,0,,5,2,75,3,2,116,0,61,16,0,,9,,0,6,4,5
,Achtkarspelen,0,,2,0,6,5,1,0,,0,3,7,67,1,39,0,3,4,4,,4,,83,68,6,3,22,0,0,90,3,76,0,,0,0,2,20,8,2,2,5,,3,2,8,46,0,2,,0,151,0,15,4,7,80,4,0,1,,2,,9,0,2,12
,Ameland,0,1,,0,2,0,0,1,,0,1,1,4,3,7,0,1,0,2,,3,,8,0,0,2,0,0,0,5,0,49,1,,0,0,0,0,2,0,0,0,,3,2,0,0,1,1,,0,5,0,1,0,1,5,0,0,0,,0,,1,1,0,0
,Appingedam,4,1,0,,12,0,2,0,,12,8,0,1,227,1,13,1,0,0,,0,,120,1,8,1,0,0,12,2,5,8,0,,0,34,1,1,0,6,1,1,,7,15,0,2,3,0,,27,0,8,0,2,5,1,13,3,0,,5,,2,4,0,1
,Assen,150,14,1,1,,1,2,0,,0,56,37,7,15,11,3,82,1,1,,2,,598,7,25,2,29,70,35,5,18,46,1,,0,5,3,2,1,10,40,348,,101,22,90,6,1,0,,9,26,24,9,3,150,11,33,11,1,,37,,19,3,36,9
,Bedum,1,2,1,10,8,,0,0,,21,2,0,0,6,0,7,2,0,0,,0,,196,4,8,3,0,0,14,0,4,6,0,,0,19,4,1,0,2,3,1,,12,6,0,1,1,0,,10,2,0,2,0,20,1,3,0,1,,0,,3,30,4,3
,Bellingwedde,1,4,0,2,6,1,,3,,0,4,5,0,12,0,2,13,1,11,,9,,90,5,8,4,5,2,16,0,0,17,3,,1,0,6,3,6,9,2,5,,3,171,4,0,36,0,,5,3,42,20,1,6,4,19,56,0,,2,,10,2,4,9
,het Bildt,0,2,3,0,2,0,0,,,0,2,0,3,1,8,0,5,15,53,,9,,20,1,0,21,2,2,6,3,0,176,54,,4,0,0,3,38,0,0,0,,0,3,1,3,0,0,,0,8,0,13,0,0,10,0,2,1,,2,,3,0,0,1
,Boarnsterhim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ten Boer,5,0,0,8,9,21,1,0,,,0,0,0,9,0,10,1,0,0,,1,,129,3,3,0,2,0,15,0,2,4,0,,0,20,1,0,0,9,0,1,,9,1,3,0,0,1,,18,1,0,0,1,16,0,2,2,0,,0,,1,1,0,3
,Borger-Odoorn,91,1,2,2,43,0,7,0,,0,,47,0,1,0,0,263,0,1,,2,,153,0,10,0,8,15,3,0,3,11,0,,0,0,1,0,0,0,5,35,,4,14,3,0,7,0,,2,0,243,1,1,19,0,25,62,0,,3,,0,0,4,1
,Coevorden,8,0,1,1,22,0,0,0,,0,42,,0,2,0,1,389,0,0,,1,,99,0,3,1,2,92,2,0,1,11,0,,0,1,0,0,0,1,30,36,,3,3,3,3,4,0,,1,1,12,3,2,2,3,3,7,1,,8,,3,2,17,2
