https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De Marne,7,2,1,3,5,7,7,1,,7,1,0,1,7,14,23,1,0,1,,0,,74,7,3,1,1,1,7,12,6,9,0,,2,5,,2,0,0,0,2,,3,4,3,1,5,2,,7,4,1,4,3,3,1,2,3,0,,0,,0,88,0,22
,Marum,2,11,0,0,12,0,0,0,,1,0,2,0,2,1,2,0,0,0,,0,,101,50,3,0,2,2,10,3,100,9,0,,0,0,3,,0,0,0,1,,22,3,14,31,0,0,,3,36,1,1,2,7,6,5,1,1,,5,,0,2,0,9
,Menameradiel,0,5,2,0,0,2,0,57,,1,0,0,3,3,6,0,0,10,47,,6,,30,2,0,16,16,1,0,1,0,202,29,,23,0,0,1,,0,1,0,,0,2,5,5,0,0,,0,6,0,27,2,0,36,4,0,0,,0,,1,0,2,0
,Menterwolde,16,0,0,5,13,4,7,0,,0,9,5,2,14,0,9,10,0,0,,0,,93,2,12,0,2,7,96,0,4,8,0,,0,0,1,0,0,,0,1,,4,45,3,2,12,0,,30,3,13,6,0,7,0,214,12,2,,0,,1,7,2,9
,Meppel,7,0,0,0,21,1,0,1,,0,6,6,0,0,0,0,18,1,1,,9,,105,0,4,3,4,73,4,0,2,32,0,,0,0,0,0,0,0,,6,,1,9,4,0,0,0,,0,2,2,4,1,5,2,0,0,0,,106,,13,0,179,1
,Midden-Drenthe,49,1,0,0,333,1,18,1,,1,33,83,0,5,3,2,74,3,2,,19,,202,0,5,5,5,137,7,2,5,32,0,,0,1,6,1,0,0,24,,,15,6,72,3,4,0,,3,29,16,7,1,28,13,16,7,0,,43,,5,0,40,5
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noordenveld,56,14,2,28,340,12,24,95,,10,30,87,12,86,16,14,91,5,23,,136,,449,30,90,20,39,133,65,21,186,64,9,,7,5,12,49,5,11,13,63,,,53,72,18,48,1,,23,130,100,217,1,131,4,45,9,1,,10,,10,35,11,31
,Oldambt,34,2,2,17,43,4,85,0,,10,13,7,0,64,0,1,26,0,0,,2,,259,6,15,3,5,12,52,1,3,17,0,,1,11,2,1,0,56,7,11,,6,,3,1,143,0,,23,6,48,0,1,22,5,78,42,0,,3,,3,3,4,2
,Ooststellingwerf,10,15,4,0,69,1,0,0,,0,2,17,7,0,7,0,17,0,4,,6,,137,11,6,5,69,8,7,0,19,51,2,,0,0,0,17,5,2,12,43,,35,3,,73,2,1,,1,94,2,13,1,13,6,2,2,5,,30,,84,0,11,5
,Opsterland,3,35,1,1,8,1,1,2,,0,1,1,4,0,6,1,0,2,3,,46,,134,11,1,8,215,7,1,5,7,83,1,,7,0,2,28,5,0,11,1,,20,5,81,,0,0,,0,341,3,27,1,5,19,2,0,1,,1,,40,1,4,3
,Pekela,19,0,0,13,24,2,38,5,,0,14,19,0,18,1,3,18,1,0,,0,,73,0,3,0,1,1,23,0,9,6,0,,0,1,0,0,0,11,14,2,,1,143,1,3,,0,,4,30,99,8,0,14,3,68,35,1,,2,,0,0,5,3
,Schiermonnikoog,0,3,0,0,0,4,0,0,,0,0,1,1,0,6,2,1,0,0,,0,,15,0,0,0,0,0,1,1,0,3,0,,0,0,3,0,0,0,0,1,,0,1,0,0,0,,,0,1,1,2,1,0,2,0,0,1,,0,,1,0,0,6
,Skarsterlân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slochteren,14,1,0,18,12,6,2,0,,9,6,2,0,54,0,9,7,0,1,,0,,221,0,8,0,1,3,124,0,5,6,0,,0,11,1,2,0,37,0,0,,9,14,2,0,3,0,,,4,6,0,4,20,2,29,0,0,,0,,1,2,0,1
,Smallingerland,8,147,3,0,21,0,1,7,,0,5,13,35,7,22,4,29,8,22,,31,,276,29,7,13,88,6,17,17,15,215,7,,11,4,1,31,9,2,14,19,,15,6,88,392,2,0,,3,,4,40,0,16,172,4,0,2,,4,,20,7,12,13
,Stadskanaal,69,0,0,0,46,0,30,1,,1,266,15,1,20,0,4,117,1,2,,5,,203,0,5,0,1,12,25,0,7,8,0,,0,2,0,4,0,13,6,14,,3,58,0,0,40,0,,3,3,,2,0,20,4,92,163,0,,0,,2,5,3,10
,Súdwest-Fryslân,4,8,4,6,11,3,3,19,,4,1,5,5,11,9,7,8,1,99,,268,,278,9,2,97,161,6,4,9,5,408,8,,161,6,0,11,40,3,20,10,,8,6,9,47,3,1,,5,42,15,,28,7,31,2,11,6,,3,,19,2,3,6
,Terschelling,0,1,0,0,2,0,1,2,,2,1,1,0,3,3,2,4,2,1,,4,,23,1,2,24,1,1,0,0,3,49,1,,4,0,1,1,1,2,1,2,,0,2,1,1,0,0,,3,1,1,17,,3,2,1,0,1,,1,,2,1,2,1
,Tynaarlo,157,1,5,6,158,3,3,0,,5,18,2,0,14,1,8,62,1,4,,0,,543,6,115,1,4,12,61,1,24,24,0,,0,8,3,12,0,4,5,47,,79,28,8,5,2,2,,24,5,13,8,3,,6,22,1,2,,10,,8,3,11,12
,Tytsjerksteradiel,0,96,3,0,4,0,1,12,,0,4,6,101,3,38,0,4,13,10,,20,,82,8,1,4,45,1,1,24,11,389,6,,10,0,0,12,10,5,0,2,,6,7,16,27,0,0,,2,181,5,37,3,6,,1,11,2,,5,,10,1,1,8
,Veendam,75,0,0,3,49,3,32,0,,3,14,4,0,32,0,8,33,3,1,,0,,253,3,10,0,4,6,73,3,9,15,0,,0,1,2,5,0,153,3,7,,17,89,5,3,79,0,,17,5,69,1,4,24,1,,20,0,,1,,1,0,1,6
,Vlagtwedde,8,1,0,3,46,0,97,126,,1,44,100,0,57,0,3,140,0,0,,97,,89,0,3,1,1,64,5,0,1,16,1,,0,1,0,0,0,2,5,13,,2,52,2,5,48,1,,2,18,235,66,0,15,29,18,,0,,2,,1,0,5,3
,Vlieland,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,1,3,0,1,,2,,14,1,0,11,3,0,0,0,1,17,1,,0,0,0,0,2,1,0,0,,0,0,3,1,0,0,,0,2,0,8,2,1,4,0,0,,,1,,0,0,0,0
,Waadhoeke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westerveld,9,2,0,1,60,0,3,0,,3,7,9,0,2,2,2,15,0,2,,4,,64,0,1,1,11,23,0,0,0,13,0,,0,0,0,0,0,1,110,48,,7,1,40,7,3,0,,0,3,0,15,1,7,0,4,2,0,,,,57,0,67,1
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weststellingwerf,6,8,0,1,3,0,0,0,,0,0,2,0,0,1,0,8,5,7,,17,,51,0,2,3,124,12,1,1,0,52,0,,2,1,1,0,0,0,36,3,,12,0,53,23,0,1,,1,18,1,21,0,5,5,2,1,0,,47,,,0,4,0
,Winsum,5,2,1,3,19,22,1,0,,8,0,6,0,8,1,54,1,0,0,,0,,203,4,11,0,1,1,4,2,16,8,0,,0,12,61,5,0,1,0,3,,5,4,2,0,0,0,,4,4,3,2,3,12,0,6,1,0,,0,,1,,2,17
,De Wolden,2,0,1,1,32,0,0,0,,0,4,12,0,0,0,0,20,0,0,,5,,60,0,3,1,0,229,3,1,3,12,0,,1,0,0,0,0,0,217,17,,4,0,7,0,0,0,,0,0,1,1,1,4,0,0,1,0,,66,,2,0,,0
,Zuidhorn,5,20,0,5,17,5,0,0,,4,1,0,14,1,2,9,5,2,0,,1,,293,67,16,0,1,2,16,20,65,14,0,,0,3,20,31,0,5,1,3,,24,4,11,6,1,3,,5,10,4,7,1,14,4,3,3,0,,5,,3,13,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
regio van aankomst,Aa en Hunze,,1,0,1,191,3,,,,0,100,15,0,3,2,1,33,0,,,0,,233,0,12,0,2,11,,0,1,22,,,,0,1,2,,,2,37,69,21,23,3,5,12,1,,,0,80,9,1,113,0,68,,0,0,14,10,0,3,5,7
,Achtkarspelen,1,,5,0,12,0,,,,0,4,0,96,0,31,5,2,3,,,14,,63,88,1,4,29,1,,91,3,87,,,,4,2,20,,,3,10,7,10,2,14,19,0,0,,,140,0,17,3,3,131,0,,1,14,1,1,4,0,0,14
,Ameland,0,3,,0,2,1,,,,0,0,1,1,0,6,1,3,0,,,0,,13,0,2,2,5,0,,1,6,48,,,,1,0,0,,,0,1,0,1,4,0,1,1,0,,,6,0,8,0,1,2,0,,0,6,2,1,5,1,2,1
,Appingedam,4,2,1,,3,0,,,,3,1,2,0,228,1,7,2,0,,,0,,95,0,4,0,2,2,,0,6,8,,,,23,0,2,,,0,5,51,13,25,6,2,5,0,,,3,2,3,1,12,0,4,,0,0,2,12,0,2,0,5
,Assen,188,13,0,6,,2,,,,11,72,29,4,11,11,6,81,1,,,7,,550,7,36,0,20,98,,0,20,50,,,,11,5,7,,,30,415,74,108,41,87,14,0,0,,,19,32,14,2,173,11,36,,1,1,46,13,3,6,35,14
,Bedum,6,0,0,4,12,,,,,29,7,4,0,7,1,12,0,0,,,1,,154,0,11,1,0,0,,1,4,4,,,,21,7,2,,,1,3,10,6,7,0,1,0,1,,,3,0,0,1,6,0,1,,0,2,0,5,0,25,0,11
,Bellingwedde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,het Bildt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boarnsterhim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ten Boer,9,0,1,8,13,11,,,,,3,1,0,2,1,19,0,0,,,0,,112,7,7,0,1,0,,0,2,3,,,,48,8,0,,,1,3,34,3,5,2,2,1,1,,,0,0,0,0,6,0,5,,0,0,1,0,0,13,0,14
,Borger-Odoorn,78,1,0,0,52,0,,,,0,,59,0,1,0,4,288,0,,,0,,122,2,9,0,0,20,,1,6,9,,,,0,2,0,,,7,30,8,1,21,6,0,14,0,,,1,258,3,2,13,0,21,,1,1,7,50,3,3,1,0
,Coevorden,11,1,1,0,22,1,,,,0,48,,2,2,2,0,460,0,,,3,,90,2,3,0,12,119,,0,0,13,,,,0,1,0,,,19,53,5,2,3,1,7,3,0,,,11,8,8,1,7,4,2,,0,0,10,18,1,0,22,1
,Dantumadiel,1,61,0,0,0,1,,,,0,0,0,,0,146,0,0,11,,,3,,38,0,0,2,9,0,,65,0,88,,,,0,2,1,,,0,3,0,2,5,3,15,0,2,,,32,0,14,0,0,115,0,,1,15,0,1,4,1,4,0
,Delfzijl,10,3,0,228,32,16,,,,13,5,3,0,,2,31,8,0,,,2,,242,13,9,0,1,6,,2,4,12,,,,47,13,4,,,3,2,143,2,102,8,0,12,0,,,8,9,6,3,16,2,25,,0,2,4,23,0,10,3,5
,Dongeradeel,1,21,9,0,3,0,,,,0,2,0,178,2,,0,0,37,,,6,,55,4,0,4,16,2,,47,5,112,,,,0,6,0,,,2,3,2,4,0,0,10,0,0,,,26,1,15,1,2,27,0,,0,12,4,0,6,0,0,1
,Eemsmond,7,2,0,9,17,38,,,,9,0,4,0,37,3,,1,0,,,2,,148,4,5,0,0,4,,2,13,7,,,,72,20,0,,,1,2,42,6,15,4,3,1,1,,,11,0,2,1,22,1,11,,0,0,2,2,0,46,5,10
,Emmen,37,3,1,3,94,5,,,,2,219,519,0,6,1,0,,0,,,7,,342,2,2,1,2,106,,0,8,56,,,,0,2,1,,,24,51,28,18,12,18,4,12,1,,,9,94,8,1,12,7,24,,1,1,11,142,3,0,16,4
,Ferwerderadiel,0,15,8,0,0,0,,,,0,0,0,15,0,66,0,0,,,,2,,19,0,0,5,4,0,,2,5,108,,,,1,0,0,,,0,8,0,1,0,0,7,0,0,,,7,0,6,0,0,15,0,,3,41,0,0,2,0,0,0
,Franekeradeel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De Friese Meren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De Fryske Marren,4,9,1,0,13,0,,,,0,4,1,9,2,7,1,10,4,,,,,164,1,1,7,286,0,,3,0,164,,,,0,1,4,,,5,6,0,3,2,11,39,1,0,,,43,1,294,6,5,26,0,,0,28,9,4,33,0,0,4
,Gaasterlân-Sleat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Groningen,235,44,13,62,580,196,,,,191,96,68,22,141,30,117,252,10,,,115,,,76,811,28,166,113,,24,363,379,,,,114,93,95,,,83,141,780,470,229,75,90,41,8,,,222,101,202,12,875,57,218,,10,71,56,64,32,223,54,359
,Grootegast,3,68,1,0,11,0,,,,1,2,0,0,5,2,12,6,0,,,4,,69,,0,0,2,1,,5,39,16,,,,1,1,76,,,0,0,9,27,4,14,18,1,0,,,35,0,0,0,5,4,1,,0,3,0,2,1,0,0,52
,Haren,10,2,1,0,33,11,,,,3,3,1,0,2,1,6,8,0,,,5,,461,0,,1,5,6,,1,8,14,,,,4,2,6,,,4,2,52,19,5,2,6,2,2,,,6,6,3,0,110,0,3,,0,1,2,1,1,12,0,17
,Harlingen,0,9,2,0,2,0,,,,0,1,0,3,0,1,0,2,1,,,8,,36,0,2,,19,0,,4,2,114,,,,0,2,0,,,5,0,2,2,2,0,2,0,0,,,4,0,83,24,2,3,0,,11,109,1,1,4,0,0,0
,Heerenveen,1,5,4,0,14,0,,,,1,1,10,4,3,12,2,4,8,,,292,,171,13,7,8,,4,,6,5,270,,,,1,2,7,,,13,9,7,4,2,52,219,0,0,,,125,1,119,7,5,19,3,,3,30,15,3,157,2,4,0
,Hoogeveen,15,0,0,1,87,0,,,,0,17,132,4,5,0,0,123,0,,,3,,149,4,4,0,12,,,2,2,16,,,,0,1,3,,,76,97,21,7,3,8,0,3,0,,,10,4,7,1,9,1,3,,0,7,23,8,7,2,248,8
,Hoogezand-Sappemeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kollumerland en Nieuwkruisland,1,84,0,0,2,4,,,,0,0,1,95,0,59,0,0,6,,,4,,37,10,0,0,13,1,,,6,63,,,,0,9,2,,,0,0,5,1,2,5,6,0,0,,,17,0,9,0,1,42,0,,0,9,1,0,0,0,0,23
,Leek,10,1,0,1,28,0,,,,5,4,0,0,6,0,4,2,1,,,0,,313,49,14,1,2,3,,1,,24,,,,3,1,107,,,1,5,36,149,8,10,13,5,2,,,16,4,5,4,22,6,8,,0,3,1,1,2,8,4,55
,Leeuwarden,10,84,49,6,45,2,,,,1,3,11,62,11,74,7,43,75,,,114,,459,9,12,87,323,14,,36,15,,,,,6,10,10,,,15,16,24,46,22,44,102,6,4,,,218,13,401,42,25,462,13,,18,614,31,16,65,7,22,15
,Leeuwarderadeel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lemsterland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Littenseradiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loppersum,14,0,1,68,5,33,,,,20,7,0,1,48,1,49,4,0,,,0,,124,3,7,0,1,3,,0,9,7,,,,,7,1,,,1,4,20,5,14,1,2,2,0,,,1,3,6,1,13,0,12,,0,1,0,6,0,35,0,0
,De Marne,7,1,0,4,17,4,,,,4,5,4,1,6,4,42,4,0,,,0,,89,4,4,4,1,1,,8,10,8,,,,10,,1,,,0,0,13,10,7,6,1,1,0,,,2,1,2,2,5,3,2,,0,0,0,6,1,80,0,18
,Marum,8,13,0,1,11,1,,,,2,1,1,2,2,4,0,1,0,,,0,,87,59,0,0,11,3,,17,114,17,,,,0,1,,,,0,0,11,31,1,21,16,0,0,,,52,0,1,1,11,3,1,,0,0,1,0,0,0,3,12
,Menameradiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Menterwolde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meppel,1,0,1,0,16,2,,,,0,3,2,0,0,0,0,28,0,,,1,,104,0,2,0,16,66,,0,1,18,,,,1,1,0,,,,10,5,5,2,0,1,4,0,,,1,0,9,0,2,6,0,,0,1,107,1,10,0,166,0
,Midden-Drenthe,41,2,0,2,379,2,,,,0,26,80,3,5,4,0,40,0,,,4,,192,1,9,0,7,119,,1,3,13,,,,2,5,2,,,18,,12,15,5,46,3,2,0,,,2,7,4,0,26,1,8,,0,1,49,7,2,0,27,8
,Midden-Groningen,48,6,4,59,96,9,,,,34,19,7,0,114,4,7,18,0,,,6,,682,6,56,1,5,7,,3,29,20,,,,29,9,10,,,4,23,,29,172,18,1,31,0,,,33,47,3,4,90,4,305,,1,3,12,40,1,8,4,16
,Noordenveld,18,6,2,1,139,3,,,,5,13,19,0,14,3,7,19,0,,,12,,417,15,21,0,11,28,,3,136,33,,,,2,10,20,,,7,13,39,,15,69,10,3,3,,,51,7,16,2,78,4,11,,0,20,11,11,6,7,4,24
,Oldambt,8,3,3,14,45,6,,,,4,23,1,0,53,5,8,26,1,,,7,,210,8,11,1,0,7,,0,8,21,,,,3,3,1,,,1,11,136,23,,2,2,111,0,,,7,62,3,3,33,3,83,,1,6,7,178,4,2,1,8
,Ooststellingwerf,5,12,3,0,100,0,,,,2,3,2,4,2,2,0,11,0,,,10,,117,1,6,0,61,11,,4,26,36,,,,0,1,5,,,9,35,8,40,5,,68,0,0,,,65,7,16,2,10,23,12,,1,6,42,6,54,0,6,5
,Opsterland,7,20,2,1,6,6,,,,5,2,9,8,6,4,3,2,1,,,49,,101,17,5,5,208,4,,7,12,91,,,,1,1,34,,,1,6,1,9,5,105,,0,0,,,329,0,28,0,1,36,2,,0,16,15,1,25,1,0,4
,Pekela,13,3,1,6,8,2,,,,1,16,1,0,10,0,2,12,0,,,1,,49,1,0,0,2,1,,0,0,3,,,,0,0,0,,,0,0,27,2,138,1,1,,0,,,1,76,5,1,6,1,78,,0,0,0,57,1,0,0,2
,Schiermonnikoog,0,1,0,0,5,2,,,,1,0,0,1,0,3,1,2,0,,,0,,6,0,0,0,1,0,,0,0,5,,,,0,2,2,,,0,0,1,0,1,0,0,0,,,,2,0,0,0,0,0,0,,0,1,0,0,1,0,1,3
,Skarsterlân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slochteren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smallingerland,4,159,4,0,19,0,,,,4,3,8,26,5,23,2,13,8,,,28,,287,19,9,7,108,11,,19,27,243,,,,2,1,17,,,15,3,16,23,6,81,370,0,1,,,,2,81,4,10,114,11,,3,35,16,11,34,2,3,16
,Stadskanaal,78,5,0,1,67,1,,,,1,254,23,0,27,2,4,116,1,,,1,,176,0,6,0,9,22,,0,7,18,,,,8,1,3,,,5,10,35,4,52,6,2,44,0,,,4,,11,3,27,10,63,,0,3,0,165,1,2,2,3
,Súdwest-Fryslân,2,12,1,0,7,0,,,,0,1,5,11,2,14,0,11,7,,,267,,266,1,2,83,155,12,,4,3,464,,,,4,1,2,,,9,5,4,8,3,17,48,2,0,,,41,0,,26,4,30,7,,9,163,10,8,31,3,1,4
,Terschelling,0,3,4,0,6,1,,,,0,1,0,2,1,2,0,0,0,,,4,,13,0,0,16,2,0,,1,2,42,,,,1,5,2,,,0,0,3,1,4,1,1,0,0,,,4,0,25,,3,1,2,,0,18,3,0,0,0,1,3
,Tynaarlo,163,6,3,2,142,2,,,,6,15,6,0,9,2,4,13,0,,,1,,644,9,106,0,5,11,,5,16,29,,,,3,5,10,,,12,23,87,104,18,18,6,8,0,,,11,11,9,0,,3,37,,0,5,3,7,1,6,3,12
,Tytsjerksteradiel,0,93,3,0,7,0,,,,0,4,0,117,3,36,0,6,10,,,22,,79,3,4,9,35,8,,40,18,384,,,,0,2,0,,,10,3,10,1,3,16,32,0,0,,,159,2,41,2,4,,0,,0,56,0,2,8,0,0,10
,Veendam,51,0,3,5,39,5,,,,2,14,4,0,17,1,3,31,0,,,2,,217,5,13,0,6,6,,0,4,20,,,,9,1,2,,,1,8,219,2,119,9,1,85,1,,,5,86,0,2,24,1,,,0,1,1,42,0,3,1,6
,Vlagtwedde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vlieland,0,2,1,0,5,0,,,,0,0,0,2,1,0,0,0,1,,,0,,12,0,1,5,3,0,,0,0,30,,,,0,0,0,,,0,0,2,1,0,2,3,1,0,,,6,1,3,1,0,1,0,,,3,0,0,0,0,0,0
,Waadhoeke,1,12,1,0,3,0,,,,0,5,2,23,1,17,0,3,26,,,33,,94,6,1,157,41,1,,7,7,715,,,,0,0,1,,,2,6,2,0,2,10,18,0,2,,,31,4,202,7,3,47,1,,4,,3,4,8,1,3,1
,Westerveld,10,0,2,0,43,0,,,,0,3,4,0,0,0,0,8,5,,,6,,63,0,3,1,16,32,,0,4,17,,,,0,5,0,,,117,39,2,6,1,39,7,1,0,,,11,1,6,3,5,7,0,,1,2,,3,44,0,44,0
,Westerwolde,8,4,0,4,201,2,,,,2,56,218,6,128,5,10,197,1,,,56,,128,10,6,0,18,168,,5,5,26,,,,0,9,4,,,6,14,51,12,213,3,8,47,0,,,86,212,112,0,16,8,34,,0,151,2,,0,9,10,14
,Weststellingwerf,0,16,0,0,7,0,,,,0,1,0,2,5,7,0,6,2,,,24,,43,0,3,4,110,4,,0,3,52,,,,0,1,1,,,24,12,2,3,3,32,16,1,0,,,22,2,22,0,1,2,0,,0,4,66,0,,1,8,1
,Winsum,13,1,2,15,25,24,,,,6,5,0,3,9,6,47,0,0,,,0,,184,3,6,1,0,2,,0,8,5,,,,13,71,0,,,2,5,17,17,4,0,0,0,2,,,2,0,3,0,13,0,3,,0,1,0,0,0,,0,22
,De Wolden,0,0,0,0,9,0,,,,0,4,11,0,0,1,0,12,0,,,2,,45,1,1,0,0,196,,1,3,7,,,,0,0,0,,,155,26,0,4,2,1,0,0,0,,,0,1,0,1,1,2,0,,0,0,57,3,4,1,,3
,Zuidhorn,6,22,0,2,16,5,,,,4,2,4,0,5,2,6,2,0,,,1,,261,72,30,0,10,14,,22,57,18,,,,7,18,20,,,5,5,17,25,6,4,2,0,4,,,9,2,0,6,15,2,5,,0,8,0,2,2,17,0,